,KEGG,Aracyc ID,KNApSAcK-ID,CAS ID,14_L03_full_1,14_L04_full_1,14_L06_full_1,14_L08_full_1,14_L11_full_1,14_L14_full_1,14_L15_full_1,14_L16_full_1,16_L02_full_1,16_L03_full_1,16_L04_full_1,16_L06_full_1,16_L07_full_1,16_L09_full_1,16_L13_full_1,16_L15_full_1,18_L03_full_1,18_L04_full_1,18_L05_full_1,18_L10_full_1,18_L12_full_1,18_L13_full_1,18_L15_full_1,18_L16_full_1,20_L01_full_1,20_L05_full_1,20_L06_full_1,20_L08_full_1,20_L12_full_1,20_L14_full_1,20_L15_full_1,20_L16_full_1,22_L01_full_1,22_L02_full_1,22_L03_full_1,22_L05_full_1,22_L08_full_1,22_L11_full_1,22_L13_full_1,22_L15_full_1,24_L05_full_1,24_L07_full_1,24_L08_full_1,24_L09_full_1,24_L10_full_1,24_L11_full_1,24_L13_full_1,24_L14_full_1,26_L01_full_1,26_L03_full_1,26_L07_full_1,26_L09_full_1,26_L10_full_1,26_L11_full_1,26_L12_full_1,26_L16_full_1,28_L01_full_1,28_L03_full_1,28_L05_full_1,28_L07_full_1,28_L10_full_1,28_L11_full_1,28_L12_full_1,28_L16_full_1
0,C00025,,C00001358,56-86-0,2203756,3824887,2344465,3792906,4841002,4434021,2732656,4564863,5266019,3600278,3641101,1946042,2916929,2894355,2990257,3647969,5372754,4586665,4512397,6515074,6929451,2824930,3137086,5625036,6607417,6116888,6463387,5510083,5369058,10400660,9127082,6443222,3134309,2222833,4954212,2878707,5746513,6090481,4262582,3966350,3093726,819307,1190169,2658456,3067387,1836933,3490070,1464515,2675575,1054577,2601689,2467108,1141640,2059334,2943271,2071103,2454579,2397335,1734449,2204660,1167445,1914662,1970794,1605533
1,C00037,GLY,C00001361,56-40-6,13561129,50437847,91753760,60463457,66567169,45412256,13722978,24082217,60042704,45303613,43900395,37233610,30092007,54900449,152205023,30985477,36903583,81709941,26231271,52968492,48064229,24191302,15256862,28093919,52574697,46215716,44846747,36268012,32145528,50212936,51134244,37410409,51240178,27461556,55674057,42383064,28606564,32342999,45425350,29871310,46472091,27215217,35824690,38939539,47150281,48366126,55670245,60370103,54603876,65371928,67104385,41812630,59403593,65873226,58815647,22991871,37523695,52447059,39081728,49191518,31938336,24822914,32476930,32291218
2,C00042,,C00001205,110-15-6,16057,31637,32402,57312,74466,39796,20284,40833,52812,43187,49239,61169,27606,32295,47179,20182,64044,95044,44590,73988,149762,30907,36247,51591,78115,73075,70219,55395,52133,137102,146138,69777,39693,30513,43532,39903,43347,59149,51692,36353,20830,17391,22938,14309,26837,12508,27335,19505,23571,23155,21064,37574,23387,16190,18248,16370,21695,26408,15584,18835,17585,20245,16166,17971
3,C00047,LYS,C00001378,56-87-1,5079051,7011010,5109477,2931404,6928890,7095492,6624830,6502495,5946074,7899030,6135350,1695290,1145401,4226858,4909876,7208305,4922862,2063527,2837624,594716,1380825,9260543,10632725,3473700,1959978,858875,363793,3979693,311761,300078,1345862,671629,982316,749009,1320217,849210,1289192,455629,919376,625941,1579521,831733,1174214,1262175,936863,507460,884619,1157927,526013,444357,252724,1073599,650703,937037,733280,164654,2067595,0,9800,151148,0,211766,322111,62312
4,C00049,L-ASPARTATE,C00001342,56-84-8,25791284,53463284,26378437,53995595,57847138,45349221,46691262,73980559,56044040,64167643,59065895,46298099,51643984,41255617,41705891,60605892,68516226,120483756,76344712,132086594,120875502,85600233,93968385,152504626,113624894,124544217,121874067,99868117,95437809,175585739,168489761,120522336,57915037,32599237,41171323,48344647,78305782,102348166,46763682,54068870,52839357,29390962,30496890,52551676,49002296,39602357,57843679,79827059,44960822,30495722,55335791,35842910,32433488,33281826,56847218,55757367,89740819,91961839,68547782,65454536,65470115,88872250,80325607,48711723
5,C00065,SER,C00001393,56-45-1,66359806,58549485,12580368,47641268,9224643,54006943,124018850,63091487,85599016,36824482,83277644,9939360,122689184,44765814,129602565,110269494,69124935,186345790,126626539,179821432,159828545,82379464,98877592,172278307,120495080,110090355,172288440,199984849,189715929,232294534,197337929,234734148,130533049,92477338,128351713,140903079,156486692,187271631,156495544,159406215,108850135,39808839,85749286,94369692,126920396,80202585,128109987,194927295,95442998,62303074,99940659,91700872,79696575,87137272,106044539,83031234,88648403,100862327,71438299,61775641,84378360,97747239,75847567,53400658
6,C00073,MET,C00001379,63-68-3,3296,2536,5965,13158,13257,3069,6860,2269,11260,9221,11041,10971,6120,3190,3205,2900,2617,9230,8883,2493,11411,3834,4821,8287,1631,12778,1674,2177,2716,7571,18145,7338,3157,2023,1867,2733,2413,2332,2114,1191,3612,2100,3388,4366,1994,3286,1793,2915,2312,2200,2281,1277,2489,2203,2587,2160,2408,2865,1919,2661,2586,1960,1207,2477
7,C00085,FRUCTOSE-6P,C00007305,643-13-0,773335,1517080,1159387,1981835,2988896,1851033,1002323,1838016,3784283,2298809,3272010,2058597,1362087,2212520,2096673,1643182,4432976,6665646,4150946,8381236,3450400,2259322,2428728,3630038,3145272,2305218,3050082,2122097,1412858,3654359,3169177,1916571,1550323,1379158,2135304,1307666,1776171,1403114,1429609,1276278,1816197,991703,1403929,1205433,1640839,1574925,1880057,1397252,1761590,1184235,1518172,1112909,838704,1119931,1525744,1143921,1810272,1400014,1050251,1350022,829497,1086525,1078238,1227341
8,C00085,FRUCTOSE-6P,C00007305,643-13-0,43010,89659,60910,111675,158361,98004,51511,97722,199588,118907,173816,113290,70962,118891,105632,86356,231753,353732,216450,456792,192773,115746,132236,193454,167789,126752,166957,112241,82174,197528,173276,108031,88552,75872,122313,76027,104612,80548,81061,71213,98475,53941,78001,69944,89081,85978,103030,75192,97054,64058,85792,65731,45021,63492,85228,67197,101266,78281,60862,76860,52032,60671,62204,71802
9,C00089,SUCROSE,C00001151,57-50-1,247880,649325,1047389,547008,1628296,939781,371836,1955726,1479960,1078240,2157662,534023,423940,2048849,895426,1022395,1245915,1577993,1068811,1593264,1246560,1102430,1201006,1334146,934362,588056,821870,634872,415915,1088365,1120022,557763,519658,358583,576007,418156,585013,527008,510458,498659,626468,375337,494907,481075,623126,425557,573549,532648,613753,446435,531852,548970,472769,497019,613182,490747,620310,519569,413446,565879,377578,434685,524628,489080
