,KEGG,Aracyc ID,KNApSAcK-ID,CAS ID,14_R01_full_1,14_R02_full_1,14_R03_full_1,14_R04_full_1,14_R05_full_1,14_R06_full_1,14_R07_full_1,14_R08_full_1,14_R09_full_1,14_R10_full_1,14_R11_full_1,14_R12_full_1,14_R13_full_1,14_R14_full_1,14_R15_full_1,14_R16_full_1,16_R01_full_1,16_R02_full_1,16_R03_full_1,16_R04_full_1,16_R05_full_1,16_R06_full_1,16_R07_full_1,16_R08_full_1,16_R10_full_1,16_R11_full_1,16_R12_full_1,16_R13_full_1,16_R14_full_1,16_R15_full_1,16_R16_full_1,18_R01_full_1,18_R02_full_1,18_R03_full_1,18_R04_full_1,18_R05_full_1,18_R06_full_1,18_R07_full_1,18_R08_full_1,18_R09_full_1,18_R10_full_1,18_R11_full_1,18_R12_full_1,18_R13_full_1,18_R14_full_1,18_R15_full_1,18_R16_full_1,20_R01_full_1,20_R02_full_1,20_R03_full_1,20_R04_full_1,20_R05_full_1,20_R06_full_1,20_R07_full_1,20_R08_full_1,20_R09_full_1,20_R10_full_1,20_R11_full_1,20_R12_full_1,20_R13_full_1,20_R14_full_1,20_R15_full_1,20_R16_full_1,22_R01_full_1,22_R02_full_1,22_R03_full_1,22_R04_full_1,22_R05_full_1,22_R06_full_1,22_R07_full_1,22_R08_full_1,22_R10_full_1,22_R11_full_1,22_R12_full_1,22_R13_full_1,22_R14_full_1,22_R15_full_1,22_R16_full_1,24_R01_full_1,24_R02_full_1,24_R03_full_1,24_R04_full_1,24_R05_full_1,24_R06_full_1,24_R07_full_1,24_R08_full_1,24_R09_full_1,24_R10_full_1,24_R11_full_1,24_R12_full_1,24_R13_full_1,24_R14_full_1,24_R15_full_1,24_R16_full_1,26_R01_full_1,26_R02_full_1,26_R03_full_1,26_R04_full_1,26_R05_full_1,26_R06_full_1,26_R07_full_1,26_R08_full_1,26_R09_full_1,26_R10_full_1,26_R11_full_1,26_R12_full_1,26_R14_full_1,26_R15_full_1,26_R16_full_1,28_R01_full_1,28_R02_full_1,28_R03_full_1,28_R04_full_1,28_R05_full_1,28_R06_full_1,28_R07_full_1,28_R08_full_1,28_R09_full_1,28_R10_full_1,28_R11_full_1,28_R12_full_1,28_R13_full_1,28_R14_full_1,28_R15_full_1,28_R16_full_1
0,C00022,PYRUVATE,C00001200,127-17-3,162131,97139,36423,84790,112268,63405,102956,75593,93636,101696,59512,121025,105158,121251,105149,105874,160310,117759,167815,174544,157298,156142,200966,115239,93016,185240,198418,98057,138077,182295,130991,381664,266194,364953,553883,345855,360974,384068,408522,360756,462382,366021,271652,510578,319742,199406,421018,356228,421040,543182,425029,366909,473703,436466,344763,413601,404546,399520,571846,459613,513769,559602,356972,1614132,1193033,834447,1437099,1457902,1697391,1094114,1725797,1912630,1744781,1337184,1095258,1314591,1864929,1336622,1642265,1718782,1362842,1361196,2107902,1216287,1293983,1947293,1626584,1643506,1440634,1967862,1175540,1838609,1332783,1082152,1278575,1425929,1404043,749633,1308579,880789,1370080,1448998,1692398,1752670,995193,1043456,1275476,992019,1277333,2069027,1487510,1546454,1729545,1858720,157,2005937,1949408,1482817,2413072,2000047,1449655,1753968,2470749,2369962,2027287
1,C00025,,C00001358,56-86-0,867824,891329,803101,1181041,805528,2104035,1451951,547391,954451,820636,562400,950026,1377134,635335,1038810,1812264,843156,1163348,895620,1000885,879709,702875,752476,475319,576884,534113,877950,701806,996548,1067924,869286,1310739,1596143,2284330,1806512,1913269,1677816,2250866,2073051,1132498,2098275,1593223,1879647,1711629,1265169,1498205,972746,1605525,2243016,2099096,1593412,1375631,1882686,2422527,1261054,1950010,1849845,1916331,2197859,1890275,2324236,2138152,1980048,5172306,4478254,3141496,4313220,4037245,4431168,4404308,4573392,3947200,3643415,5110653,4428649,4422901,5756120,3778780,3564190,4045550,2785853,4422546,5764296,2813304,3573522,5167172,4314003,5051367,4686202,4635881,3809359,4843993,4362140,2657145,2983785,4235774,3852121,1219316,5044174,2240661,2764311,2048718,3968854,3711593,2121968,5765235,4404748,5033600,4200025,5108392,3567031,3080253,4580720,4302456,2020329,3756085,4877874,4277013,4443376,5499370,4134203,4959494,5967165,5852090,5109303
2,C00026,,C00000769,328-50-7,2246335,1590804,1424906,2194109,2294297,2244263,3349129,1691922,2285383,1540810,1372699,1675536,2223389,1943076,1586211,2888004,2211709,2031157,2456838,1740163,2032739,2082372,2601976,1879477,1373944,2525820,2065016,1602639,1983644,2130069,1921332,3954129,3828751,3689097,4556710,3742901,3538504,3872988,3866035,4269458,5197136,4047451,3251443,3837969,4124569,2465406,3656032,3564965,4061636,2905650,2450093,2306303,4709046,4165968,2648419,3890721,3776989,3118384,3899507,3624556,3558498,3307221,2959737,7096804,6037844,4472532,5954934,5328992,5812141,6008305,6087112,4642958,6682703,3859569,6023241,4195912,7279323,5536206,5321030,5654926,5377869,5356653,6756758,3622307,5102676,5391157,5668298,5235046,4869183,4573549,3891229,6453260,5613768,2274105,3930189,4009280,4619514,2188299,3870794,3852366,3879981,4184541,5416750,3704549,3112351,4803987,5416021,3839690,4697172,6490482,4032921,4178246,4456512,5553097,2342665,4548779,5195915,3532234,4356945,6163269,4318181,4876902,6952811,7847649,5662148
3,C00037,GLY,C00001361,56-40-6,17858249,13778082,13687645,15523996,15416379,18013696,20268185,11529079,12686320,11654308,10438938,16842442,14500916,13826352,12535420,18041985,14977450,17956652,12636169,12572413,18883425,13978588,13198939,11335107,7446557,11263287,14367458,8493705,12777308,19360094,10712151,15933013,23024863,16516903,20300351,19280533,13203142,14407616,16993487,15094764,19460000,15508833,14388624,19089175,16363297,12785369,14655129,14657395,13756664,11901345,13078695,8277260,14109997,13220224,9847704,12817853,10912340,11898744,16709224,13201014,12993437,13108325,9302708,24787830,28950935,20463501,29548127,17789479,38595948,22339002,17591120,20615680,19005611,13246356,16593550,11791019,34903095,20683749,15026783,13861062,12743083,20061838,17689369,10020229,11181228,13820555,10827213,11692937,12828330,12436350,9328834,17448542,15793168,8422457,14677843,20196560,14628481,6896220,13106103,11378235,11648739,8620420,13511589,10039943,7679706,17006163,16231583,15876878,13317956,21296675,14168168,9399964,10716491,10011883,6635370,11420297,11240512,9263538,13006479,11843495,8625131,11007248,13753008,21975505,18532212
4,C00042,,C00001205,110-15-6,208512,191596,175272,244046,303255,302812,465491,233175,225970,172314,143135,269509,212034,259028,167663,258809,206869,170548,136198,148245,204151,235658,208360,188408,84441,254765,189582,117840,147025,135368,105151,173285,145631,165043,215830,164049,158251,158924,178387,221113,284724,212970,104657,173580,194096,112255,181712,150568,190595,111905,104128,76362,250612,203312,156439,171517,157030,110463,191221,172902,145673,165754,99073,182356,242449,133032,146118,155589,196459,213930,187606,170290,237639,118459,181764,103726,217169,170012,104652,113855,122816,98820,171525,81610,110289,123755,106144,105170,98662,114159,84275,126261,106350,58428,116247,79886,129350,73127,113345,127390,72753,93189,134800,118918,81594,156506,120934,93254,108373,102591,89524,80785,92449,107039,38211,96410,100734,77731,113834,139079,86919,110670,148088,98629,93645
5,C00047,LYS,C00001378,56-87-1,1162668,872852,792829,1119373,1241135,1483902,1556149,862404,644557,1018880,668474,1220028,1288086,1041513,1041262,1313846,1521922,1735549,1752156,1446210,1504550,1329764,1303284,982306,921391,952233,1438537,884323,1319135,2030883,1155343,4187893,4121958,3323961,4267984,3019493,2159376,3682663,3419299,3080369,4461084,3149960,3285424,3751353,3446033,2273816,2942254,3912588,4077414,4137322,3567430,2236507,3913914,4280676,2463743,4102187,4029821,3186163,4173781,3292840,3573855,3653896,2618027,11352922,10439596,7559103,8147629,7671870,11631413,8733341,11194313,6359629,10017353,7684485,10714505,8454191,12117676,9110190,6523136,6279579,7355469,9120099,10613894,5527812,6715423,7752403,8448159,8121413,7964584,9277148,6748531,9743463,9535687,5006676,6653027,8009802,6225176,3422425,6403279,6675391,3884015,4687882,6561212,4983963,4341871,9502033,6283279,5866673,6406322,9137621,6293355,7327085,7196292,9186247,3227195,7085376,8802825,6849215,9200240,10859951,8145470,9710895,11229786,9771201,8086245
6,C00049,L-ASPARTATE,C00001342,56-84-8,6901992,3998636,4459809,5931964,3832150,18118200,6601668,3167587,4256785,6476406,4709801,5363792,8635687,4026296,5260133,9429475,4160156,8107533,4923289,5603240,7084157,3550778,4343838,2435087,3901926,2632533,4972719,5505974,5216765,10626725,6094003,7956662,20673894,20296980,13687046,17758232,13248959,17595240,15192208,9700232,19529436,12844820,12408860,14569249,8030513,13289557,8195358,13336538,17223666,16446823,18788529,13177865,11823292,20100056,13834879,14256568,15092865,13130418,16977435,16448529,16283769,15813479,15741105,22529398,44845485,42014339,35281775,30540892,71273236,63448758,27770186,37405450,27681824,52251300,50658814,52306947,51845813,29173831,13786498,19401865,17781843,47362242,45177166,21176636,22179629,41589344,33066785,46196755,46770939,40695264,26810219,36800034,28941613,19678986,10405510,45944368,15189689,9993242,48677866,15733743,28045813,16009037,26635666,35300118,19075760,48306069,35864386,46406500,23377486,26528025,29766051,19521678,35470022,20248830,19446986,17824098,29184099,33913058,27942259,32791464,30901683,38106180,42078142,28965346,29389623
7,C00065,SER,C00001393,56-45-1,3862774,26843827,13739348,31673574,41498575,21411314,41946985,31433674,26214360,21892312,20010609,33772002,26135973,30939696,19050254,27585768,37810426,5787258,27747698,30785396,9217661,41734875,37195396,34705572,19004750,35529816,42827169,23299794,25935237,380958,16482868,56496087,5278994,38114752,55007187,5856535,32914920,44489784,46333353,58069807,52046743,49281335,38458329,47566395,56544089,37919417,54702347,29651094,47098417,40433584,6611445,5464868,56112374,45023667,6083432,57821742,43086709,40140264,44856650,20408951,44234699,43804810,30282774,116669850,105719554,10987302,36062390,93480638,0,16868439,107487704,27775659,115363282,46654684,81305413,45022208,17416058,107453661,70766908,73697672,72083985,4172471,70636443,40847045,70939236,52828723,66633675,17098864,4170264,52319410,60342352,67453352,76659747,38558780,70181058,1931954,68447537,38023094,39692645,62507410,23905142,61523851,73893537,41334023,42629452,72564915,55354604,38759875,45834076,57821758,28824075,62461370,39086037,71075704,592092,55853953,70568140,35081030,54074659,84073734,64711525,75149810,71267004,68322384,59482088
8,C00078,TRP,C00001396,73-22-3,33650,26959,20740,31551,38593,27832,36634,23317,24022,36880,30106,37218,34518,32771,36224,37828,36535,39320,43871,40795,31405,32491,38779,26512,29622,28352,44572,23658,31335,41654,33044,105738,95062,104002,126118,89807,78471,95652,100856,82449,122837,92353,89382,112766,85920,54593,83338,99876,108761,103840,76785,64253,116423,104039,80828,95882,95972,87633,111848,90587,103196,99480,73518,318860,223950,203855,210120,234231,293722,235690,300767,240359,321652,196743,219765,230153,406724,258593,196534,181657,185463,228460,310609,157453,172984,230988,242945,271339,250575,312140,172334,329925,233858,181271,168673,225326,164542,86804,173968,165973,117110,162437,200655,191076,119585,200942,174071,147046,192322,315089,192679,212591,215394,297216,92429,260476,319499,204726,346563,333471,258809,302623,380084,336265,321170
9,C00085,FRUCTOSE-6P,C00007305,643-13-0,1212517,954351,1023690,1083531,1007813,1566820,1807260,1293570,1340384,838492,919139,1260320,1345963,1416412,1255878,1814023,1094147,1289974,1317544,1034269,1139059,1494992,1281250,1202068,877939,1165866,1370387,812431,1286886,1571352,963215,3047140,2690445,2362847,2976283,2335985,1874618,2443076,3363703,2378111,2336850,2343401,2388681,2236236,2296199,1663513,2469969,2112334,2635096,2503923,1741782,1557607,2732437,2225426,1808692,2844935,2036672,2127880,2788146,2205919,2828689,2515574,2071773,10521917,8388649,8142497,7410753,8253708,11167578,9732716,11768839,5638260,10709363,5805681,10380286,9057705,10479896,10718935,5841825,6056274,9917043,8202211,8341154,4802239,7277066,6380318,9582220,9339673,7557468,8457935,5693821,10444773,9330592,4442472,8244816,9747685,7955555,6791866,6763460,8426569,5847790,10840276,11881332,6341621,6992220,8524245,11017812,6840943,9488392,10108935,8645378,10982435,7635830,11252162,3527430,7434895,10764028,8580774,8271670,10792947,10410969,11494242,12630178,11147310,12266848
